długość fali [nm] - 1) P=637,9uW	natężenie, jednostki umowne - 1) P=637,9uW	długość fali [nm] - 2) P=1,844mW	natężenie, jednostki umowne - 2) P=1,844mW	długość fali [nm] - 3) P=3,451mW	natężenie, jednostki umowne - 3) P=3,451mW	długość fali [nm] - 4) P=5,397mW	natężenie, jednostki umowne - 4) P=5,397mW	długość fali [nm] - 5) P=7,643mW	natężenie, jednostki umowne - 5) P=7,643mW	długość fali [nm] - 6) P=10,16mW	natężenie, jednostki umowne - 6) P=10,16mW	długość fali [nm] - 7) P=12,93mW	natężenie, jednostki umowne - 7) P=12,93mW	długość fali [nm] - 8) P=15,95mW	natężenie, jednostki umowne - 8) P=15,95mW	
467	20,584	467	20,1763	467	21,8639	467	71,7072	467	163,16	467	276,254	467	457,977	467	766,406	
468	34,6758	468	10,2582	468	31,048	468	60,1125	468	135,161	468	253,481	468	461,096	468	750,385	
469	4,24974	469	46,293	469	29,2167	469	79,4703	469	153,694	469	274,979	469	489,414	469	777,144	
470	38,6148	470	15,2618	470	55,4016	470	62,5363	470	160,111	470	306,561	470	484,513	470	757,403	
471	6,36112	471	7,19522	471	21,2209	471	89,8529	471	172,819	471	301,716	471	481,956	471	782,444	
472	14,5859	472	24,9761	472	38,4388	472	97,7125	472	156,963	472	289,471	472	485,769	472	781,657	
473	3,73704	473	8,74701	473	37,6496	473	58,3819	473	136,043	473	314,22	473	479,995	473	798,454	
474	32,5773	474	40,4613	474	14,3922	474	82,9957	474	140,614	474	290,221	474	501,749	474	779,946	
475	20,7993	475	5,56566	475	61,869	475	96,7552	475	145,796	475	308,74	475	502,442	475	782,516	
476	10,0825	476	22,8065	476	38,7033	476	93,7331	476	171,784	476	299,102	476	499,056	476	808,632	
477	30,8241	477	6,03282	477	20,6496	477	95,2548	477	164,37	477	314,71	477	504,944	477	831,062	
478	41,6124	478	4,45701	478	58,2815	478	88,7965	478	167,518	478	289,612	478	542,143	478	843,639	
479	22,4676	479	19,3166	479	17,0219	479	98,8065	479	170,919	479	332,025	479	507,945	479	849,326	
480	10,2431	480	49,9702	480	50,9983	480	98,4498	480	176,542	480	316,176	480	511,936	480	827,589	
481	25,8047	481	32,2179	481	45,3987	481	65,1854	481	149,125	481	332,181	481	535,415	481	846,49	
482	28,9172	482	25,7118	482	62,5279	482	77,2728	482	144,017	482	311,246	482	536,712	482	850,315	
483	15,5603	483	43,6675	483	15,2259	483	91,6148	483	172,095	483	298,67	483	564,898	483	868,734	
484	26,1337	484	12,7005	484	17,1749	484	105,347	484	187,742	484	317,911	484	557,189	484	843,19	
485	47,748	485	2,62312	485	40,0263	485	82,942	485	151,017	485	345,411	485	557,753	485	880,819	
486	23,6765	486	21,3775	486	61,7783	486	106,57	486	184,848	486	345,757	486	542,876	486	892,72	
487	26,6231	487	20,3738	487	33,956	487	85,9083	487	196,786	487	338,636	487	544,297	487	881,517	
488	3,92315	488	50,356	488	40,3361	488	60,0136	488	169,639	488	346,331	488	581,018	488	900,617	
489	30,4146	489	48,58	489	28,1818	489	102,922	489	162,541	489	350,442	489	589,823	489	907,801	
490	0,900907	490	9,65953	490	58,5202	490	103,813	490	204,512	490	345,117	490	558,237	490	907,724	
491	8,84707	491	11,0738	491	48,8648	491	70,0264	491	177,36	491	327,831	491	601,153	491	906,977	
492	8,48149	492	42,5751	492	45,5125	492	72,5082	492	195,038	492	342,191	492	564,563	492	902,096	
493	5,10387	493	19,6346	493	60,4968	493	67,3357	493	165,449	493	336,964	493	576,064	493	896,323	
494	36,2874	494	45,8695	494	21,0117	494	113,528	494	193,17	494	350,462	494	574,824	494	904,434	
495	7,57192	495	34,4595	495	54,2202	495	69,1344	495	206,181	495	353,421	495	573,18	495	910,45	
496	32,122	496	26,716	496	27,5821	496	100,357	496	176,403	496	368,107	496	590,883	496	918,795	
497	43,3375	497	34,6426	497	27,3873	497	68,8418	497	170,343	497	368,569	497	617,715	497	914,751	
498	0,403639	498	42,4325	498	37,4989	498	91,3829	498	193,644	498	356,208	498	604,023	498	950,118	
499	4,9406	499	5,1224	499	29,8369	499	91,0565	499	185,963	499	351,292	499	633,046	499	959,489	
500	24,53	500	26,9763	500	53,2596	500	82,9307	500	175,888	500	359,535	500	621,926	500	969,338	
501	43,871	501	40,4941	501	65,3732	501	74,5989	501	214,793	501	361,35	501	636,574	501	941,205	
502	3,33521	502	19,1313	502	37,9499	502	105,434	502	222,344	502	378,26	502	609,134	502	959,737	
503	4,73645	503	26,9047	503	24,2317	503	78,353	503	214,645	503	353,643	503	629,099	503	972,114	
504	47,6573	504	49,1119	504	59,6834	504	111,125	504	196,627	504	399,631	504	649,337	504	962,965	
505	33,2715	505	41,6916	505	31,7981	505	79,5962	505	218,387	505	393,974	505	647,471	505	966,28	
506	45,6252	506	24,3983	506	45,7637	506	74,3154	506	228,295	506	391,535	506	650,998	506	978,829	
507	33,9915	507	31,9866	507	33,6853	507	117,741	507	194,623	507	403,67	507	643,166	507	1004,09	
508	43,5843	508	52,3342	508	37,135	508	105,141	508	228,101	508	414,809	508	673,879	508	991,811	
509	1,07818	509	17,9661	509	48,0847	509	95,5667	509	222,152	509	407,544	509	641,611	509	1033,31	
510	38,7419	510	33,6391	510	63,397	510	94,5084	510	196,942	510	411,707	510	675,375	510	1009,83	
511	7,41006	511	6,31672	511	69,5362	511	96,6529	511	241,186	511	416,655	511	692,201	511	1023,51	
512	45,221	512	12,6367	512	62,2483	512	111,94	512	231,639	512	398,693	512	691,868	512	1047,01	
513	3,03717	513	13,2396	513	70,169	513	103,301	513	212,159	513	384,725	513	667,552	513	1037,98	
514	46,0247	514	16,9345	514	49,6817	514	90,0643	514	214,055	514	390,229	514	686,583	514	1065,57	
515	17,662	515	34,2655	515	49,52	515	118,209	515	222,381	515	405,294	515	686,78	515	1065,2	
516	4,65135	516	9,45708	516	62,6558	516	95,7389	516	203,014	516	404,403	516	711,985	516	1060,3	
517	6,47128	517	13,817	517	51,4195	517	125,177	517	208,466	517	395,234	517	699,998	517	1057,24	
518	44,9674	518	3,45297	518	51,3697	518	125,754	518	205,265	518	438,791	518	712,463	518	1089,58	
519	3,99885	519	48,4581	519	32,2625	519	90,8387	519	228,297	519	428,284	519	697,456	519	1053,89	
520	26,8646	520	31,2805	520	69,7439	520	104,235	520	216,182	520	404,62	520	690,537	520	1094,09	
521	27,4977	521	25,9433	521	58,5903	521	120,702	521	236,958	521	423,749	521	690,365	521	1108,72	
522	3,84663	522	32,1658	522	53,9523	522	115,711	522	251,68	522	427,499	522	739,267	522	1080,66	
523	0,308494	523	15,5178	523	54,0821	523	111,765	523	254,649	523	449,388	523	745,243	523	1087,93	
524	6,7711	524	4,15272	524	31,2994	524	128,315	524	263,465	524	465,779	524	747,911	524	1121,58	
525	36,3501	525	17,205	525	51,7047	525	135,821	525	235,194	525	441,343	525	733,469	525	1093,58	
526	49,3528	526	21,631	526	36,2491	526	129,254	526	229,048	526	437,503	526	760,933	526	1115,71	
527	20,1892	527	36,117	527	56,1286	527	125,433	527	242,42	527	441,763	527	756,348	527	1131,19	
528	23,2834	528	22,8843	528	51,9363	528	99,1031	528	257,184	528	445,271	528	752,892	528	1146,93	
529	26,2163	529	14,0049	529	67,3293	529	114,879	529	237,434	529	436,452	529	745,452	529	1131,55	
530	29,6663	530	37,8024	530	76,5279	530	102,945	530	229,609	530	480,566	530	759,938	530	1147,57	
531	43,2828	531	49,6558	531	71,6974	531	145,046	531	258,228	531	463,227	531	752,361	531	1170,27	
532	28,2384	532	11,0748	532	70,6961	532	122,337	532	264,839	532	453,293	532	766,479	532	1165,5	
533	38,1896	533	47,8345	533	62,8638	533	119,254	533	240,54	533	473,006	533	747,523	533	1143,12	
534	37,3893	534	51,9605	534	48,2713	534	109,527	534	245,022	534	453,262	534	764,489	534	1184,07	
535	31,1821	535	8,18718	535	31,3639	535	134,786	535	261,821	535	495,969	535	764,732	535	1165,61	
536	5,88774	536	28,0787	536	62,368	536	136,363	536	277,663	536	470,928	536	761,257	536	1153,02	
537	36,6251	537	20,2499	537	75,1131	537	141,667	537	278,173	537	496,888	537	765,598	537	1195,49	
538	5,50489	538	40,1387	538	46,7265	538	131,187	538	282,49	538	486,619	538	800,292	538	1210,93	
539	46,6736	539	8,35746	539	36,8299	539	148,105	539	289,356	539	467,248	539	776,965	539	1181,73	
540	23,6412	540	39,829	540	57,9029	540	150,012	540	249,248	540	508,947	540	790,274	540	1191,38	
541	7,2996	541	35,5954	541	66,8992	541	115,804	541	255,682	541	483,485	541	820,513	541	1203,62	
542	25,2548	542	44,5705	542	72,9178	542	149,055	542	296,937	542	518,511	542	825,671	542	1208,9	
543	38,842	543	10,9495	543	44,0228	543	134,411	543	264,333	543	497,82	543	792,826	543	1198,53	
544	25,7273	544	35,5688	544	47,366	544	116,32	544	287,535	544	523,768	544	834,641	544	1209,25	
545	12,079	545	37,0066	545	80,3907	545	155,332	545	277,095	545	499,58	545	821,28	545	1211,52	
546	12,4401	546	5,50344	546	52,8526	546	126,631	546	306,442	546	528,778	546	807,284	546	1234,17	
547	8,80624	547	25,7941	547	80,5868	547	115,133	547	273,158	547	498,689	547	838,199	547	1218,45	
548	23,2798	548	25,3468	548	41,0706	548	130,688	548	288,235	548	493,86	548	859,068	548	1270,01	
549	20,3128	549	9,93801	549	57,7601	549	126,595	549	279,469	549	501,071	549	820,656	549	1275,28	
550	6,06811	550	31,1053	550	65,6356	550	150,187	550	295,306	550	531,087	550	849,642	550	1248,86	
551	13,6246	551	11,9637	551	38,2134	551	137,791	551	316,69	551	505,878	551	839,485	551	1252,79	
552	20,237	552	7,87865	552	70,4113	552	141,696	552	271,917	552	525,303	552	836,568	552	1275,8	
553	15,8154	553	13,7928	553	37,9331	553	146,455	553	275,135	553	530,245	553	844,352	553	1286,84	
554	17,0144	554	43,4551	554	55,6632	554	168,098	554	284,539	554	523,382	554	880,638	554	1294,51	
555	17,2986	555	48,7239	555	72,0224	555	169,725	555	302,605	555	554,248	555	884,697	555	1305,6	
556	28,9604	556	8,97651	556	83,6206	556	145,529	556	290,803	556	540,789	556	893,483	556	1305,37	
557	34,3377	557	25,18	557	67,9205	557	130,802	557	310,43	557	519,847	557	857,263	557	1278,56	
558	43,7877	558	55,4327	558	84,4526	558	144,548	558	294,815	558	543,282	558	886,738	558	1323,22	
559	6,60095	559	22,47	559	59,039	559	126,989	559	309,288	559	527,013	559	904,233	559	1295,95	
560	0,536373	560	39,0316	560	54,5088	560	174,301	560	314,641	560	561,048	560	910,047	560	1327,66	
561	12,5158	561	31,9926	561	54,6123	561	168,218	561	299,314	561	579,081	561	889,6	561	1298,96	
562	23,7702	562	55,1616	562	70,1978	562	153,641	562	329,672	562	539,207	562	887,791	562	1330,67	
563	13,2569	563	51,4334	563	66,6758	563	135,311	563	296,711	563	570,155	563	894,736	563	1314,08	
564	44,2172	564	54,9582	564	58,398	564	173,714	564	313,709	564	555,435	564	901,548	564	1314,77	
565	21,5895	565	15,2544	565	68,583	565	135,949	565	336,324	565	572,139	565	893,385	565	1347,44	
566	17,5589	566	35,7328	566	42,0319	566	144,674	566	341,693	566	560,318	566	900,123	566	1338,66	
567	32,0734	567	14,7665	567	79,2394	567	163,081	567	346,598	567	588,746	567	908,968	567	1373,37	
568	41,7375	568	7,99455	568	55,8626	568	179,834	568	334,365	568	586,221	568	929,233	568	1375,24	
569	29,3559	569	53,8945	569	54,3013	569	159,975	569	320,298	569	587,447	569	913,949	569	1366,67	
570	13,6116	570	18,6013	570	77,2366	570	186,114	570	352,243	570	608,268	570	938,394	570	1380,29	
571	24,46	571	52,2217	571	59,3302	571	146,705	571	347,065	571	594,029	571	912,597	571	1398,42	
572	37,6995	572	19,6794	572	57,4295	572	140,271	572	311,214	572	584,832	572	945,584	572	1356,82	
573	37,2487	573	26,6521	573	85,1082	573	141,119	573	323,106	573	586,09	573	938,893	573	1388,64	
574	3,20804	574	41,4963	574	55,2523	574	154,565	574	320,047	574	591,916	574	930,311	574	1389,43	
575	25,7393	575	14,1762	575	80,46	575	147,544	575	322,919	575	588,864	575	949,317	575	1397,2	
576	10,7238	576	11,9178	576	57,9261	576	174,577	576	324,651	576	603,037	576	959,615	576	1426,96	
577	1,45538	577	49,1989	577	80,5783	577	190,682	577	363,396	577	612,821	577	958,059	577	1421,1	
578	32,0972	578	35,1946	578	51,1452	578	147,331	578	334,177	578	619,167	578	965,029	578	1427,36	
579	16,7822	579	12,9975	579	88,6206	579	165,07	579	349,577	579	622,558	579	991,338	579	1440,48	
580	4,18788	580	55,2369	580	55,8279	580	190,337	580	372,217	580	640,476	580	986,124	580	1438,8	
581	48,8014	581	35,0085	581	50,9011	581	185,602	581	360,643	581	634,93	581	990,982	581	1451,68	
582	18,0212	582	31,0916	582	91,8853	582	196,52	582	333,307	582	635,256	582	963,53	582	1448,7	
583	46,8626	583	12,2022	583	89,6829	583	187,671	583	358,643	583	639,886	583	985,84	583	1440,33	
584	15,3567	584	23,1952	584	87,9624	584	188,383	584	375,317	584	618,063	584	994,405	584	1468,37	
585	40,9041	585	34,0883	585	62,7362	585	153,701	585	368,561	585	639,638	585	975,974	585	1468,71	
586	22,7216	586	49,5651	586	61,7293	586	174,463	586	355,778	586	644,85	586	988,981	586	1480,01	
587	39,1545	587	27,5547	587	96,0432	587	198,18	587	344,809	587	634,961	587	1005,69	587	1445,37	
588	20,6567	588	37,3014	588	76,2884	588	194,666	588	359,924	588	649,659	588	995,633	588	1483,65	
589	17,3045	589	23,7409	589	57,1783	589	195,627	589	388,137	589	658,312	589	1029,81	589	1456,48	
590	14,1727	590	22,7743	590	76,8903	590	197,164	590	355,722	590	631,005	590	1009,12	590	1467,71	
591	36,7706	591	29,899	591	65,3557	591	162,778	591	366,154	591	625,499	591	1032,46	591	1471,29	
592	27,9499	592	9,40677	592	70,613	592	192,584	592	372,191	592	666,029	592	1035,43	592	1482,13	
593	9,84655	593	11,2936	593	80,6156	593	181,832	593	393,041	593	664,299	593	1008,38	593	1473,84	
594	0,394166	594	16,1123	594	87,4948	594	213,33	594	373,718	594	654,203	594	1013,86	594	1512,23	
595	10,4419	595	15,1533	595	95,5328	595	207,025	595	356,984	595	639,265	595	1014,07	595	1499,67	
596	40,288	596	26,2819	596	72,6399	596	205,629	596	382,943	596	655,336	596	1019,71	596	1499,2	
597	20,237	597	27,1699	597	73,7004	597	182,154	597	408,244	597	691,337	597	1057,88	597	1490,75	
598	13,5769	598	55,2612	598	93,7204	598	200,413	598	369,698	598	676,724	598	1048,71	598	1519,25	
599	13,1742	599	40,0497	599	73,1596	599	209,981	599	386,412	599	696,24	599	1071,4	599	1515,69	
600	47,6384	600	33,8343	600	100,367	600	175,312	600	413,028	600	670,874	600	1036,97	600	1527,81	
601	13,1262	601	58,2455	601	76,859	601	185,912	601	379,02	601	660,768	601	1068,69	601	1513,85	
602	15,4245	602	52,3822	602	98,6006	602	181,657	602	382,194	602	693,865	602	1068,66	602	1534,52	
603	33,9286	603	27,861	603	105,561	603	199,533	603	383,249	603	694,954	603	1076,17	603	1560,8	
604	15,9046	604	31,648	604	75,8564	604	195,852	604	392,451	604	704,437	604	1083,72	604	1555,92	
605	38,9047	605	20,5495	605	74,5871	605	214,823	605	408,095	605	702,021	605	1061,14	605	1546,08	
606	24,9723	606	13,677	606	84,6083	606	203,128	606	408,945	606	676,221	606	1094,21	606	1568,2	
607	0,477556	607	46,7489	607	94,1988	607	225,113	607	425,071	607	685,944	607	1081,66	607	1547,63	
608	3,22102	608	24,4951	608	109,15	608	191,271	608	391,497	608	696,861	608	1064,26	608	1559,2	
609	4,90293	609	24,7184	609	98,3695	609	202,592	609	424,964	609	718,134	609	1107,3	609	1587,37	
610	0,374262	610	39,9355	610	96,1125	610	231,695	610	396,253	610	703,225	610	1105,63	610	1556,61	
611	33,8269	611	59,6847	611	72,6243	611	221,635	611	424,356	611	707,927	611	1103,65	611	1569,49	
612	34,0072	612	56,8629	612	105,745	612	219,995	612	408,701	612	714,173	612	1106,55	612	1573,33	
613	26,0182	613	43,2819	613	96,4504	613	203,849	613	435,32	613	726,898	613	1116,37	613	1572,78	
614	47,8997	614	21,7887	614	114,448	614	233,975	614	438,63	614	741,038	614	1102,58	614	1584,51	
615	47,4567	615	30,3723	615	106,392	615	232,899	615	437,643	615	711,624	615	1114,18	615	1618,87	
616	26,6782	616	35,9916	616	115,004	616	221,79	616	399,595	616	732,122	616	1108,58	616	1612,46	
617	32,1753	617	59,6205	617	76,6144	617	226,341	617	401,503	617	726,771	617	1113,11	617	1611,79	
618	15,2847	618	42,2132	618	76,6719	618	216,141	618	411,499	618	707,547	618	1121,57	618	1587,88	
619	8,23473	619	20,5259	619	72,5335	619	239,577	619	416,502	619	751,947	619	1108,76	619	1636,81	
620	4,02247	620	51,276	620	94,6139	620	230,523	620	414,596	620	725,523	620	1109,42	620	1623,39	
621	39,4801	621	60,3793	621	116,515	621	195,831	621	435,578	621	715,598	621	1117,46	621	1602,89	
622	30,3735	622	35,3449	622	78,3238	622	241,649	622	432,837	622	735,842	622	1122,97	622	1636,04	
623	6,9674	623	16,7467	623	71,5948	623	209,571	623	446,71	623	730,583	623	1153,77	623	1648,55	
624	49,2046	624	46,9304	624	93,0367	624	238,513	624	422,176	624	756,276	624	1149,49	624	1615,06	
625	44,8257	625	55,2879	625	110,079	625	239,267	625	447,792	625	733,454	625	1171,21	625	1655,48	
626	38,5395	626	14,8773	626	96,1858	626	205,292	626	428,049	626	739,707	626	1136,35	626	1636,12	
627	28,0208	627	20,4891	627	112,735	627	208,817	627	432,209	627	761,141	627	1148,8	627	1639,86	
628	44,4938	628	15,6884	628	81,4763	628	249,901	628	456,419	628	772,593	628	1155,7	628	1636,52	
629	1,41136	629	32,828	629	85,2308	629	243,808	629	427,331	629	738,474	629	1187,66	629	1659,48	
630	13,5424	630	52,0328	630	87,4196	630	234,468	630	449,355	630	787,9	630	1177,01	630	1669,04	
631	5,34737	631	35,7502	631	116,019	631	238,236	631	456,789	631	744,975	631	1180,9	631	1678,54	
632	36,3748	632	21,4104	632	82,0394	632	224,642	632	446,912	632	770,38	632	1184,93	632	1687,42	
633	45,2003	633	35,1942	633	107,499	633	248,138	633	433,281	633	783,056	633	1176,93	633	1658,45	
634	19,8102	634	49,5264	634	95,9656	634	227,703	634	483,483	634	764,712	634	1184,54	634	1696,06	
635	42,6238	635	16,7837	635	86,7258	635	252,13	635	460,199	635	784,957	635	1207,66	635	1660,23	
636	9,14007	636	26,4567	636	111,711	636	213,625	636	458,84	636	788,206	636	1185,36	636	1680,92	
637	7,82345	637	48,0191	637	91,2101	637	262,89	637	473,447	637	783,558	637	1178,36	637	1664,18	
638	5,81722	638	46,2635	638	101,179	638	219,834	638	446,935	638	784,263	638	1194,39	638	1684,18	
639	18,411	639	30,2775	639	126,42	639	225,664	639	486,908	639	791,294	639	1222,51	639	1688,69	
640	27,1519	640	38,6619	640	109,505	640	265,727	640	488,416	640	797,521	640	1204,63	640	1691,47	
641	16,9484	641	36,3261	641	100,509	641	259,314	641	495,058	641	816,243	641	1219,22	641	1729,4	
642	5,57819	642	47,2112	642	116,777	642	260,582	642	472,741	642	813,308	642	1187,5	642	1732,82	
643	37,2672	643	45,5284	643	81,7392	643	248,496	643	474,791	643	790,1	643	1196,16	643	1727,81	
644	37,8296	644	44,3052	644	117,852	644	265,155	644	456,838	644	819,163	644	1214,62	644	1713,13	
645	31,5746	645	54,8823	645	94,3099	645	236,3	645	470,664	645	824,087	645	1215,82	645	1713,83	
646	4,88256	646	41,2469	646	111,397	646	266,888	646	484,626	646	784,972	646	1203,97	646	1720,04	
647	9,93216	647	55,3051	647	132,557	647	272,327	647	465,799	647	809,639	647	1238,95	647	1719,74	
648	12,5748	648	56,5457	648	127,816	648	259,466	648	480,311	648	804,889	648	1231,12	648	1718,03	
649	38,3374	649	58,1302	649	108,851	649	233,317	649	465,982	649	837,336	649	1257,19	649	1740,05	
650	13,5604	650	58,9573	650	112,25	650	267,078	650	494,346	650	825,378	650	1227,69	650	1753,64	
